student_id,district,al_passed,ol_passed,stream,career_interest,budget,preferred_city,hostel_required,sports_or_extracurricular,university_id,university_name,university_type,location,degree_programs,program_description,language_mediums,hostel_available,semester_fee_lkr,entry_requirements,ranking_score,international_affiliation,recommended_university_id
11,Matale,FALSE,FALSE,Technology,Law,61606,Ampara,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Diploma in Physiotherapy,2-year rehabilitation program with clinical practice.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
12,Kurunegala,FALSE,TRUE,Physical Science,IT,283664,Trincomalee,TRUE,FALSE,G013,Buddhist and Pali University of Sri Lanka,Public,Homagama,Bachelor of Laws (LLB),"3-year program with international moot court competitions (Philip C. Jessup), legal aid clinic serving underserved communities, and specializations in Commercial Law or Human Rights. Includes internships with Supreme Court justices and courses on Sri Lankan constitutional law.","English,Sinhala,Tamil",TRUE,14763,Z-score,23.98,FALSE,G013
13,Mullaitivu,FALSE,FALSE,Commerce,Medicine,209651,Jaffna,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Diploma in Forensic Accounting,1-year fraud detection and investigation program.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
14,Moneragala,FALSE,TRUE,Arts,Medicine,39354,Colombo,FALSE,FALSE,P024,Imperial College of Business Studies,Private,Colombo,Bachelor of Computer Science,"4-year degree offering specializations in AI (with NVIDIA GPU labs), Cybersecurity (ethical hacking certifications), and IoT (Cisco networking equipment). Features 6-month industry internships, hackathons with tech companies, and British Computer Society accreditation. Includes capstone projects solving real-world problems.","English,Sinhala,Tamil",FALSE,165146,A/L pass or O/L pass,30,TRUE,P024
15,Batticaloa,FALSE,FALSE,Technology,Engineering,37533,Polonnaruwa,TRUE,FALSE,P002,Informatics Institute of Technology (IIT),Private,Colombo,BSc (Hons) Sports Science,3-year FIFA-standard program with biomechanics labs.,"English,Sinhala,Tamil",TRUE,68711,A/L pass or O/L pass,48,TRUE,P002
16,Kilinochchi,TRUE,TRUE,Biological Science,Arts,11700,Mullaitivu,FALSE,TRUE,P008,Horizon Campus,Private,"Malabe, Kiribathgoda",Certificate in Mixology,6-month bartending program with international cocktail training.,"English,Sinhala,Tamil",FALSE,154911,A/L pass or O/L pass,30,FALSE,P008
17,Trincomalee,FALSE,FALSE,Technology,Design,38020,Puttalam,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",BSc (Hons) in International Relations,3-year program with diplomatic protocol training and UN model simulations.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
18,Ampara,TRUE,TRUE,Biological Science,Medicine,92225,Colombo,TRUE,FALSE,G013,Buddhist and Pali University of Sri Lanka,Public,Homagama,BSc in Psychology,3-year behavioral science degree with SPSS training.,"English,Sinhala,Tamil",TRUE,14763,Z-score,23.98,FALSE,G013
19,Batticaloa,FALSE,TRUE,Physical Science,Medicine,106470,Gampaha,FALSE,TRUE,P001,NSBM Green University,Private,"Homagama, Colombo",Higher Diploma in IT,2-year technical program with Java/Python programming.,"English,Sinhala,Tamil",FALSE,25419,A/L pass or O/L pass,45,TRUE,P001
20,Ratnapura,TRUE,TRUE,Technology,Engineering,95590,Moneragala,FALSE,FALSE,P007,ESOFT Metro Campus,Private,"Colombo, Kandy, Galle, Negombo",Online Certificate in Digital Marketing,6-month social media strategy program.,"English,Sinhala,Tamil",FALSE,85023,A/L pass or O/L pass,30,TRUE,P007
21,Galle,FALSE,TRUE,Technology,Medicine,207712,Kegalle,TRUE,FALSE,P025,Virtusa Institute of Technology,Private,Colombo,Bachelor of Disaster Mgmt.,"Hazard mitigation program with early warning systems, GIS mapping, and community preparedness.","English,Sinhala,Tamil",TRUE,103598,A/L pass or O/L pass,50,FALSE,P025
22,Anuradhapura,FALSE,FALSE,Arts,Business,31381,Kurunegala,TRUE,FALSE,P003,Royal Institute of Colombo (RIC),Private,Colombo,Diploma in Medical Laboratory Technology,2-year diagnostic training program.,"English,Sinhala,Tamil",TRUE,192705,A/L pass or O/L pass,47.5,TRUE,P003
23,Vavuniya,TRUE,TRUE,Technology,Arts,298334,Polonnaruwa,FALSE,TRUE,P024,Imperial College of Business Studies,Private,Colombo,BBA in Business Administration,4-year degree with case study methodology and corporate projects.,"English,Sinhala,Tamil",FALSE,165146,A/L pass or O/L pass,30,TRUE,P024
24,Matara,FALSE,FALSE,Technology,Law,88318,Nuwara Eliya,TRUE,FALSE,P023,SLIATE Affiliated Private Colleges,Private,Various,BA (Hons) Law,3-year LLB degree with UK legal system focus.,"English,Sinhala,Tamil",TRUE,148909,A/L pass or O/L pass,30,FALSE,P023
25,Kandy,FALSE,FALSE,Arts,Design,253483,Kandy,FALSE,FALSE,P016,NIBM (National Institute of Business Management),Private,Colombo,Bachelor of Tamil Studies,"Classical literature program with manuscript preservation, media studies, and linguistic research. Includes translation training.","English,Sinhala,Tamil",FALSE,227607,A/L pass or O/L pass,40,FALSE,P016
26,Kilinochchi,TRUE,TRUE,Technology,Medicine,18803,Anuradhapura,FALSE,FALSE,P021,AIMS Institute,Private,Colombo,Bachelor of Social Sci.,"Post-war studies program with reconciliation research, community development, and conflict analysis.","English,Sinhala,Tamil",FALSE,74011,A/L pass or O/L pass,30,TRUE,P021
27,Galle,FALSE,TRUE,Arts,Design,296938,Matale,FALSE,TRUE,P001,NSBM Green University,Private,"Homagama, Colombo",BBA in International Business,3-year degree with import/export case studies.,"English,Sinhala,Tamil",FALSE,25419,A/L pass or O/L pass,45,TRUE,P001
28,Hambantota,FALSE,FALSE,Physical Science,Medicine,275638,Moneragala,FALSE,FALSE,P010,Sri Lanka International Buddhist Academy (SIBA),Private,"Pallekele, Kandy",BA in English,3-year literature degree with creative writing workshops and journalism training.,"English,Sinhala,Tamil",FALSE,201901,A/L pass or O/L pass,25,TRUE,P010
29,Batticaloa,FALSE,FALSE,Physical Science,Engineering,104517,Vavuniya,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Bachelor of Yoga Science,"Wellness program with therapeutic yoga, anatomy studies, and teacher training certification.","English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
30,Puttalam,TRUE,TRUE,Biological Science,Medicine,187748,Kegalle,TRUE,FALSE,G008,Sabaragamuwa University of Sri Lanka,Public,Belihuloya,BSc (Hons) Computing,3-year UK-accredited degree with AI/Game Development options. Features Microsoft Imagine Academy.,"English,Sinhala,Tamil",TRUE,9839,Z-score,44.46,FALSE,G008
31,Kalutara,FALSE,FALSE,Technology,Arts,286197,Mannar,FALSE,FALSE,P001,NSBM Green University,Private,"Homagama, Colombo",BSc (Hons) in Psychology,3-year behavioral science degree with cognitive labs and counseling practicums.,"English,Sinhala,Tamil",FALSE,25419,A/L pass or O/L pass,45,TRUE,P001
32,Jaffna,TRUE,TRUE,Biological Science,Engineering,188715,Kalutara,FALSE,FALSE,P018,Aquinas College of Higher Studies,Private,Colombo,Certificate in Digital Advertising,6-month social media marketing program.,"English,Sinhala,Tamil",FALSE,98257,A/L pass or O/L pass,25,TRUE,P018
33,Jaffna,FALSE,TRUE,Biological Science,Medicine,109885,Puttalam,FALSE,TRUE,P015,Lyceum Campus,Private,"Colombo, Wattala",BArch,5-year RIBA-recognized program with 3D printing and sustainable design.,"English,Sinhala,Tamil",FALSE,180180,A/L pass or O/L pass,33,TRUE,P015
34,Puttalam,FALSE,FALSE,Technology,Arts,168765,Gampaha,FALSE,TRUE,P013,ANC Education,Private,"Colombo, Kandy",Certificate in Full Stack Development,6-month MERN stack program.,"English,Sinhala,Tamil",FALSE,230594,A/L pass or O/L pass,42,TRUE,P013
35,Gampaha,TRUE,TRUE,Biological Science,Business,184134,Anuradhapura,FALSE,TRUE,G011,South Eastern University of Sri Lanka,Public,Oluvil,BSc in Business Management,3-year degree with industry placements and mentorship.,"English,Sinhala,Tamil",FALSE,13284,Z-score,41.46,TRUE,G011
36,Moneragala,TRUE,TRUE,Biological Science,Design,280778,Trincomalee,FALSE,TRUE,P029,University of West London (UWL) Sri Lanka,Private,Colombo,LLB (Hons),3-year UK-modeled law degree with mooting competitions and legal clinic experience.,"English,Sinhala,Tamil",FALSE,12003,A/L pass or O/L pass,55,FALSE,P029
37,Hambantota,FALSE,FALSE,Physical Science,Agriculture,298409,Vavuniya,TRUE,TRUE,P014,BCAS Campus,Private,"Colombo, Kalmunai",Bachelor of Tourism Management,Wildlife safari operations program with UNESCO site management focus. Includes hospitality certifications and eco-tourism projects.,"English,Sinhala,Tamil",TRUE,55083,A/L pass or O/L pass,35,TRUE,P014
38,Jaffna,FALSE,FALSE,Technology,Medicine,196495,Trincomalee,FALSE,TRUE,P008,Horizon Campus,Private,"Malabe, Kiribathgoda",BA (Hons) Business Management,3-year entrepreneurship program.,"English,Sinhala,Tamil",FALSE,154911,A/L pass or O/L pass,30,FALSE,P008
39,Vavuniya,FALSE,FALSE,Commerce,Law,12106,Kilinochchi,FALSE,FALSE,P005,Asia Pacific Institute of IT (APIIT),Private,"Colombo, Kandy",Bachelor of Drama,"Theater program with acting, direction, and traditional Sri Lankan performance forms.","English,Sinhala,Tamil",FALSE,61804,A/L pass or O/L pass,46,TRUE,P005
40,Kilinochchi,TRUE,TRUE,Technology,Engineering,106724,Anuradhapura,FALSE,TRUE,G002,University of Sri Jayewardenepura,Public,Nugegoda,Bachelor of Agribusiness,"Export market program with value chain analysis, agricultural policy, and entrepreneurship training.","English,Sinhala,Tamil",FALSE,13611,Z-score,68.26,FALSE,G002
41,Ratnapura,FALSE,TRUE,Biological Science,Business,291673,Ratnapura,TRUE,TRUE,G003,University of Moratuwa,Public,Moratuwa,Diploma in Counseling,1-year therapeutic techniques certification program.,"English,Sinhala,Tamil",TRUE,11838,Z-score,60,TRUE,G003
42,Vavuniya,FALSE,TRUE,Arts,Engineering,180549,Vavuniya,FALSE,FALSE,P020,City School of Architecture (CSA),Private,Colombo,Certificate in Taxation,6-month program covering income tax and VAT regulations.,"English,Sinhala,Tamil",FALSE,10916,A/L pass or O/L pass,45,TRUE,P020
43,Colombo,TRUE,TRUE,Biological Science,Agriculture,123114,Vavuniya,FALSE,TRUE,P010,Sri Lanka International Buddhist Academy (SIBA),Private,"Pallekele, Kandy",Higher Diploma in Engineering,2-year mechanical/electrical training.,"English,Sinhala,Tamil",FALSE,201901,A/L pass or O/L pass,25,TRUE,P010
44,Kandy,FALSE,FALSE,Arts,Agriculture,146155,Mannar,FALSE,TRUE,P022,Sei Campus,Private,Nugegoda,Bachelor of Mass Communication,"Journalism program with TV/radio production studios, digital media training, and internships at leading media houses. Includes documentary filmmaking.","English,Sinhala,Tamil",FALSE,217992,A/L pass or O/L pass,25,FALSE,P022
45,Puttalam,FALSE,TRUE,Physical Science,Design,290821,Hambantota,TRUE,FALSE,P002,Informatics Institute of Technology (IIT),Private,Colombo,BSc in Aviation Management,"3-year degree with airline operations training, simulator experiences, and airport internships.","English,Sinhala,Tamil",TRUE,68711,A/L pass or O/L pass,48,TRUE,P002
46,Polonnaruwa,TRUE,TRUE,Technology,IT,119092,Kurunegala,FALSE,TRUE,G005,University of Ruhuna,Public,Matara,BSc in Software Engineering,3-year degree with guaranteed Virtusa placements.,"English,Sinhala,Tamil",FALSE,12813,Z-score,61.44,FALSE,G005
47,Mannar,FALSE,FALSE,Physical Science,Law,86061,Nuwara Eliya,TRUE,FALSE,P023,SLIATE Affiliated Private Colleges,Private,Various,Diploma in Stock Market Analysis,1-year technical trading certification.,"English,Sinhala,Tamil",TRUE,148909,A/L pass or O/L pass,30,FALSE,P023
48,Ratnapura,TRUE,TRUE,Biological Science,Agriculture,247537,Vavuniya,FALSE,FALSE,G009,Wayamba University of Sri Lanka,Public,Kuliyapitiya,BSc (Hons) Culinary Arts,3-year professional chef training program.,"English,Sinhala,Tamil",FALSE,11878,Z-score,46.12,TRUE,G009
49,Gampaha,TRUE,TRUE,Technology,Agriculture,162706,Kurunegala,FALSE,TRUE,P021,AIMS Institute,Private,Colombo,Bachelor of Agriculture,"Precision farming program with drone mapping, sensor networks, and export crop management (tea/cinnamon). Features 1,500-acre university farm, partnerships with Dole/Hayleys, and agribusiness specializations.","English,Sinhala,Tamil",FALSE,74011,A/L pass or O/L pass,30,TRUE,P021
50,Mannar,FALSE,TRUE,Technology,IT,285520,Colombo,TRUE,TRUE,P004,CINEC Campus,Private,"Malabe, Jaffna, Wattala",BSc in Nutrition,3-year dietetics program with clinical rotations.,"English,Sinhala,Tamil",TRUE,196801,A/L pass or O/L pass,35,TRUE,P004
51,Ratnapura,TRUE,TRUE,Physical Science,IT,266613,Jaffna,FALSE,FALSE,P018,Aquinas College of Higher Studies,Private,Colombo,Bachelor of Conflict Resolution,"Peacebuilding program with fieldwork, mediation training, and post-war reconstruction studies.","English,Sinhala,Tamil",FALSE,98257,A/L pass or O/L pass,25,TRUE,P018
52,Kalutara,FALSE,FALSE,Technology,Engineering,159318,Kandy,FALSE,TRUE,P021,AIMS Institute,Private,Colombo,BSc in Hospitality Management,3-year Swiss-modeled program with 5-star hotel rotations and wine certification.,"English,Sinhala,Tamil",FALSE,74011,A/L pass or O/L pass,30,TRUE,P021
53,Ampara,FALSE,FALSE,Technology,Agriculture,281224,Anuradhapura,TRUE,FALSE,P023,SLIATE Affiliated Private Colleges,Private,Various,BA in Buddhist Counseling,3-year therapeutic applications program with mindfulness training.,"English,Sinhala,Tamil",TRUE,148909,A/L pass or O/L pass,30,FALSE,P023
54,Nuwara Eliya,FALSE,FALSE,Technology,Design,48911,Matale,TRUE,FALSE,P002,Informatics Institute of Technology (IIT),Private,Colombo,Diploma in Human Resource Management,1-year HR certification program with labor law training.,"English,Sinhala,Tamil",TRUE,68711,A/L pass or O/L pass,48,TRUE,P002
55,Batticaloa,FALSE,FALSE,Technology,Medicine,258724,Batticaloa,FALSE,TRUE,P011,American College of Higher Education (ACHE),Private,Negombo,BSc (Hons) in Business Information Systems,"3-year degree blending IT and management. Includes SAP ERP training, digital transformation projects, and financial sector internships.","English,Sinhala,Tamil",FALSE,168800,A/L pass or O/L pass,32,TRUE,P011
56,Anuradhapura,FALSE,TRUE,Technology,Engineering,204004,Badulla,TRUE,TRUE,G003,University of Moratuwa,Public,Moratuwa,Bachelor of Business,"Local economic development program with SME management, agricultural value chains, and microfinance.","English,Sinhala,Tamil",TRUE,11838,Z-score,60,TRUE,G003
57,Kalutara,TRUE,TRUE,Physical Science,Law,217830,Ampara,FALSE,TRUE,G002,University of Sri Jayewardenepura,Public,Nugegoda,Certificate in Architectural Visualization,6-month 3D rendering program.,"English,Sinhala,Tamil",FALSE,13611,Z-score,68.26,FALSE,G002
58,Galle,TRUE,TRUE,Physical Science,Arts,104997,Kilinochchi,TRUE,FALSE,P025,Virtusa Institute of Technology,Private,Colombo,Diploma in Events Management,1-year program covering wedding/concert planning.,"English,Sinhala,Tamil",TRUE,103598,A/L pass or O/L pass,50,FALSE,P025
59,Badulla,FALSE,TRUE,Physical Science,Business,84000,Moneragala,TRUE,FALSE,P026,Nexford University (Online Programs),Private,Colombo,BSc (Hons) Computer Science,3-year UK-accredited IT degree.,"English,Sinhala,Tamil",TRUE,202984,A/L pass or O/L pass,55,FALSE,P026
60,Nuwara Eliya,TRUE,TRUE,Commerce,Medicine,171621,Kilinochchi,TRUE,FALSE,P027,University of Central Lancashire (UCLan) Sri Lanka,Private,Colombo,MBA,2-year executive program with case study methodology and leadership simulations.,"English,Sinhala,Tamil",TRUE,41811,A/L pass or O/L pass,60,FALSE,P027
61,Hambantota,TRUE,TRUE,Arts,Business,57607,Hambantota,FALSE,TRUE,G015,University of the Visual and Performing Arts,Public,Colombo 7,Certificate in Pastry Arts,6-month baking program with French techniques.,"English,Sinhala,Tamil",FALSE,12313,Z-score,30.71,FALSE,G015
62,Nuwara Eliya,FALSE,TRUE,Commerce,Engineering,272352,Ampara,TRUE,FALSE,P028,Cardiff Metropolitan University (CMU) Sri Lanka,Private,Colombo,BSc in Logistics Management,3-year supply chain program with warehouse simulations and port terminal visits.,"English,Sinhala,Tamil",TRUE,205744,A/L pass or O/L pass,58,TRUE,P028
63,Kalutara,TRUE,TRUE,Biological Science,Engineering,14213,Gampaha,TRUE,FALSE,P027,University of Central Lancashire (UCLan) Sri Lanka,Private,Colombo,BSc in Psychology,3-year behavioral science program with clinical observations and counseling workshops.,"English,Sinhala,Tamil",TRUE,41811,A/L pass or O/L pass,60,FALSE,P027
64,Trincomalee,FALSE,TRUE,Physical Science,IT,89282,Badulla,FALSE,FALSE,P010,Sri Lanka International Buddhist Academy (SIBA),Private,"Pallekele, Kandy",Bachelor of Transport Engineering,"Port logistics program with AnyLogic simulations, smart mobility projects (Uber/Pepper), and traffic management studies. Includes supply chain optimization.","English,Sinhala,Tamil",FALSE,201901,A/L pass or O/L pass,25,TRUE,P010
65,Badulla,FALSE,FALSE,Commerce,Medicine,95097,Trincomalee,FALSE,FALSE,P021,AIMS Institute,Private,Colombo,Diploma in IT,2-year technical program with CCNA/Microsoft fundamentals.,"English,Sinhala,Tamil",FALSE,74011,A/L pass or O/L pass,30,TRUE,P021
66,Galle,FALSE,TRUE,Technology,Law,160464,Gampaha,FALSE,FALSE,P020,City School of Architecture (CSA),Private,Colombo,BSc in Psychology,3-year program with clinical observations at National Hospital and counseling workshops.,"English,Sinhala,Tamil",FALSE,10916,A/L pass or O/L pass,45,TRUE,P020
67,Ratnapura,FALSE,FALSE,Technology,Medicine,88601,Matara,TRUE,TRUE,P026,Nexford University (Online Programs),Private,Colombo,BA in Pali Language,3-year ancient text translation degree with manuscript studies.,"English,Sinhala,Tamil",TRUE,202984,A/L pass or O/L pass,55,FALSE,P026
68,Colombo,TRUE,TRUE,Physical Science,Engineering,130664,Polonnaruwa,TRUE,TRUE,G004,University of Kelaniya,Public,Kelaniya,BSc in IT,"3-year program with Cisco networking labs, cybersecurity modules, and cloud computing.","English,Sinhala,Tamil",TRUE,10905,Z-score,64.73,FALSE,G004
69,Mullaitivu,FALSE,TRUE,Physical Science,Design,298531,Badulla,TRUE,TRUE,P019,Management & Science University (MSU) Sri Lanka,Private,Colombo,BSc (Hons) Business IT,3-year dual-focused degree with SAP ERP training and digital marketing.,"English,Sinhala,Tamil",TRUE,178009,A/L pass or O/L pass,40,TRUE,P019
70,Kandy,TRUE,TRUE,Technology,Arts,67537,Trincomalee,FALSE,FALSE,G007,Rajarata University of Sri Lanka,Public,Mihintale,BSc in Cyber Security,3-year ethical hacking program with penetration testing.,"English,Sinhala,Tamil",FALSE,8064,Z-score,57.41,FALSE,G007
71,Matale,TRUE,TRUE,Physical Science,Design,144715,Polonnaruwa,FALSE,TRUE,P029,University of West London (UWL) Sri Lanka,Private,Colombo,Diploma in Construction Management,1-year project planning certification.,"English,Sinhala,Tamil",FALSE,12003,A/L pass or O/L pass,55,FALSE,P029
72,Ratnapura,TRUE,TRUE,Physical Science,Arts,136028,Galle,TRUE,TRUE,G001,University of Peradeniya,Public,Peradeniya,Online MSc in AI,18-month advanced technical degree with ML projects.,"English,Sinhala,Tamil",TRUE,13650,Z-score,65.77,TRUE,G001
73,Kalutara,FALSE,FALSE,Physical Science,Engineering,229567,Nuwara Eliya,FALSE,FALSE,P015,Lyceum Campus,Private,"Colombo, Wattala",Bachelor of Marine Biology,"Coral reef research program with underwater robotics, oceanography fieldwork, and marine conservation projects. Includes research vessel access.","English,Sinhala,Tamil",FALSE,180180,A/L pass or O/L pass,33,TRUE,P015
74,Kandy,FALSE,FALSE,Technology,Arts,222277,Colombo,TRUE,TRUE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",BA (Hons) Business Administration,3-year UK-linked management degree.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
75,Matale,FALSE,TRUE,Biological Science,Design,207324,Batticaloa,FALSE,FALSE,P006,ICBT Campus,Private,"Colombo, Kandy, Kurunegala, Matara",Bachelor of Social Work,Community development program with reconciliation projects and NGO partnerships. Includes fieldwork in post-war areas.,"English,Sinhala,Tamil",FALSE,180702,A/L pass or O/L pass,38,TRUE,P006
76,Hambantota,FALSE,FALSE,Technology,Law,207729,Moneragala,TRUE,TRUE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",BSc in Marketing,3-year digital marketing degree with Google Analytics certification.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
77,Moneragala,FALSE,FALSE,Arts,Arts,96889,Ampara,TRUE,TRUE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",BA (Hons) in English,3-year literature program with creative writing workshops and TESL certification options.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
78,Trincomalee,FALSE,TRUE,Arts,Design,283986,Trincomalee,FALSE,FALSE,P013,ANC Education,Private,"Colombo, Kandy",Bachelor of Economics,"Post-war development program with reconstruction economics, Islamic finance, and regional planning.","English,Sinhala,Tamil",FALSE,230594,A/L pass or O/L pass,42,TRUE,P013
79,Ratnapura,FALSE,TRUE,Technology,Agriculture,291635,Gampaha,FALSE,TRUE,P015,Lyceum Campus,Private,"Colombo, Wattala",Bachelor of Meditation,"Therapeutic applications program with mindfulness training, clinical research, and retreat leadership.","English,Sinhala,Tamil",FALSE,180180,A/L pass or O/L pass,33,TRUE,P015
80,Hambantota,FALSE,FALSE,Commerce,Business,47217,Galle,TRUE,TRUE,P014,BCAS Campus,Private,"Colombo, Kalmunai",Bachelor of Buddhist Studies,"Pali canon program with scriptural research, archaeology fieldwork, and meditation studies.","English,Sinhala,Tamil",TRUE,55083,A/L pass or O/L pass,35,TRUE,P014
81,Gampaha,FALSE,FALSE,Biological Science,Agriculture,133162,Trincomalee,FALSE,TRUE,P006,ICBT Campus,Private,"Colombo, Kandy, Kurunegala, Matara",Diploma in Digital Marketing,1-year program with Google Analytics certification and social media strategy projects.,"English,Sinhala,Tamil",FALSE,180702,A/L pass or O/L pass,38,TRUE,P006
82,Vavuniya,FALSE,FALSE,Arts,Business,228362,Kalutara,FALSE,FALSE,P005,Asia Pacific Institute of IT (APIIT),Private,"Colombo, Kandy",BSc in Cyber Security,3-year ethical hacking program with penetration testing competitions and forensics training.,"English,Sinhala,Tamil",FALSE,61804,A/L pass or O/L pass,46,TRUE,P005
83,Batticaloa,FALSE,FALSE,Commerce,Design,296238,Batticaloa,TRUE,TRUE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",BEng (Hons) Software Engineering,4-year UK-accredited degree featuring Agile/DevOps methodologies. Includes Apple Mac labs and 12-month placements at 99x Technologies.,"English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
84,Hambantota,FALSE,TRUE,Physical Science,Medicine,139281,Polonnaruwa,TRUE,TRUE,P028,Cardiff Metropolitan University (CMU) Sri Lanka,Private,Colombo,BBA in International Business,3-year degree with import/export case studies and trade simulations.,"English,Sinhala,Tamil",TRUE,205744,A/L pass or O/L pass,58,TRUE,P028
85,Kalutara,TRUE,TRUE,Technology,Medicine,161833,Kurunegala,TRUE,FALSE,P004,CINEC Campus,Private,"Malabe, Jaffna, Wattala",BEng (Hons) Mechanical,4-year UK-accredited engineering degree with ANSYS labs.,"English,Sinhala,Tamil",TRUE,196801,A/L pass or O/L pass,35,TRUE,P004
86,Kurunegala,FALSE,FALSE,Technology,Medicine,202049,Gampaha,FALSE,TRUE,P015,Lyceum Campus,Private,"Colombo, Wattala",Bachelor of Civil Engineering,"4-year IESL-accredited program focusing on earthquake-resistant design using SAP2000 software, with field studies in landslide areas. Includes 1-year industry placement, BIM technology training, and sustainable infrastructure projects.","English,Sinhala,Tamil",FALSE,180180,A/L pass or O/L pass,33,TRUE,P015
87,Polonnaruwa,TRUE,TRUE,Biological Science,Engineering,23851,Batticaloa,TRUE,FALSE,G013,Buddhist and Pali University of Sri Lanka,Public,Homagama,Bachelor of Sharia Law,"Islamic jurisprudence program with family law, commercial law, and comparative legal studies.","English,Sinhala,Tamil",TRUE,14763,Z-score,23.98,FALSE,G013
88,Hambantota,FALSE,TRUE,Biological Science,Medicine,102382,Nuwara Eliya,FALSE,FALSE,P015,Lyceum Campus,Private,"Colombo, Wattala",BSc in Pharmacy,4-year program with clinical placements and drug formulation labs.,"English,Sinhala,Tamil",FALSE,180180,A/L pass or O/L pass,33,TRUE,P015
